Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
M,300,McNeil,6.0,6.0,Everton,54.75,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20,43.20,2.56,2.10,1.99,2.08,1.70,2.23,2.11,1.76,2.17,2.23,2.10,1.92
M,301,Alcaraz,5.5,5.5,Everton,66.75,53.10,53.10,53.10,53.10,53.10,53.10,53.10,53.10,53.10,53.10,53.10,2.92,2.34,2.22,2.35,1.89,2.54,2.38,1.90,2.41,2.56,2.38,2.15
M,302,Gana,5.5,5.5,Everton,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,2.93,3.01,2.96,2.93,2.80,3.19,3.09,2.55,3.28,3.14,2.99,2.98
M,303,Garner,5.0,5.0,Everton,73.80,73.80,73.80,73.80,73.80,73.80,73.80,73.80,73.80,73.80,73.80,73.80,2.73,2.78,2.72,2.74,2.50,2.94,2.84,2.35,2.99,2.92,2.80,2.66
M,304,Iroegbunam,5.0,5.0,Everton,26.40,26.40,26.40,26.40,26.40,26.40,26.40,26.40,26.40,26.40,26.40,26.40,0.92,0.94,0.92,0.93,0.89,0.98,0.95,0.86,0.99,0.97,0.94,0.93
M,305,Armstrong,4.5,4.5,Everton,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,0.43,0.44,0.43,0.44,0.40,0.46,0.45,0.38,0.47,0.46,0.44,0.42
M,306,Bates,4.5,4.5,Everton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,307,Ebere,4.5,4.5,Everton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,308,Heath,4.5,4.5,Everton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,309,Metcalfe,4.5,4.5,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,310,Barry,6.0,6.0,Everton,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,1.90,1.92,1.82,1.91,1.57,2.06,1.90,1.58,1.98,2.06,1.94,1.76
F,311,Beto,5.5,5.5,Everton,55.50,55.50,55.50,55.50,55.50,55.50,55.50,55.50,55.50,55.50,55.50,55.50,2.77,2.78,2.56,2.79,2.25,3.05,2.80,2.30,2.86,2.99,2.84,2.55
F,312,Y.Chermiti,5.0,5.0,Everton,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,0.43,0.43,0.41,0.44,0.35,0.46,0.44,0.35,0.45,0.47,0.44,0.39
F,313,Sherif,4.5,4.5,Everton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
G,314,Leno,5.0,5.0,Fulham,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.79,3.34,2.76,3.81,3.55,2.78,3.19,2.79,2.68,3.86,3.29,4.07
G,315,Benda,4.0,4.0,Fulham,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,316,Robinson,5.0,5.0,Fulham,0.00,0.00,15.30,85.65,85.65,85.65,85.65,85.65,85.65,85.65,85.65,85.65,0.00,0.00,0.52,4.19,3.84,2.91,3.07,2.96,2.81,4.11,3.51,4.70
D,317,Andersen,4.5,4.5,Fulham,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,3.30,3.94,2.83,4.38,4.24,3.25,3.62,3.54,3.10,4.24,3.76,4.73
D,318,Bassey,4.5,4.5,Fulham,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,2.81,3.41,2.40,3.92,3.70,2.82,3.13,3.05,2.70,3.83,3.29,4.32
D,319,Castagne,4.5,4.5,Fulham,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,0.83,0.93,0.77,1.03,0.99,0.82,0.87,0.84,0.81,1.01,0.90,1.12
D,320,Diop,4.5,4.5,Fulham,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,0.74,0.80,0.70,0.86,0.84,0.74,0.77,0.76,0.73,0.83,0.79,0.90
D,321,J.Cuenca,4.5,4.5,Fulham,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,0.17,0.18,0.16,0.19,0.18,0.17,0.17,0.17,0.16,0.18,0.17,0.19
D,322,Tete,4.5,4.5,Fulham,73.95,73.95,73.95,73.95,73.95,73.95,73.95,73.95,73.95,73.95,73.95,73.95,2.47,3.08,2.11,3.56,3.28,2.54,2.68,2.58,2.45,3.48,2.98,3.97
D,323,Amissah,4.0,4.0,Fulham,32.70,32.70,29.10,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,1.47,1.71,1.17,0.16,0.16,0.14,0.15,0.14,0.14,0.16,0.15,0.16
M,324,Iwobi,6.5,6.5,Fulham,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,3.53,3.86,3.24,4.16,4.16,3.49,3.65,3.19,3.28,4.06,3.51,4.65
M,325,Smith Rowe,6.0,6.0,Fulham,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,36.30,1.79,1.93,1.64,2.06,2.05,1.76,1.80,1.64,1.71,2.02,1.73,2.31
M,326,Adama,5.5,5.5,Fulham,39.90,39.90,39.90,39.90,39.90,39.90,39.90,39.90,39.90,39.90,39.90,39.90,1.93,2.08,1.77,2.27,2.29,1.91,1.95,1.76,1.82,2.17,1.87,2.50
M,327,Andreas,5.5,5.5,Fulham,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,44.10,2.05,2.25,1.88,2.40,2.42,2.00,2.10,1.90,1.92,2.34,2.02,2.68
M,328,Sessegnon,5.5,5.5,Fulham,53.55,53.55,53.55,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,2.10,2.26,1.94,1.16,1.18,1.02,1.05,0.98,1.00,1.13,1.03,1.23
M,329,Wilson,5.5,5.5,Fulham,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,2.99,3.35,2.68,3.63,3.60,2.91,3.02,2.68,2.83,3.41,2.93,3.97
M,330,Berge,5.0,5.0,Fulham,77.70,77.70,77.70,77.70,77.70,77.70,77.70,77.70,77.70,77.70,77.70,77.70,2.91,3.15,2.63,3.21,3.30,2.81,2.97,2.67,2.86,3.18,2.90,3.51
M,331,Cairney,5.0,5.0,Fulham,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,0.65,0.70,0.62,0.71,0.73,0.65,0.66,0.61,0.62,0.71,0.64,0.79
M,332,Lukić,5.0,5.0,Fulham,74.40,74.40,74.40,74.40,74.40,74.40,74.40,74.40,74.40,74.40,74.40,74.40,2.59,2.84,2.39,2.86,2.93,2.59,2.68,2.43,2.53,2.91,2.61,3.13
M,333,Godo,4.5,4.5,Fulham,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,0.13,0.14,0.12,0.14,0.14,0.13,0.13,0.12,0.12,0.14,0.13,0.15
M,334,Harris,4.5,4.5,Fulham,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,335,King,4.5,4.5,Fulham,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,1.40,1.48,1.30,1.55,1.57,1.37,1.43,1.30,1.36,1.54,1.39,1.67
M,336,Reed,4.5,4.5,Fulham,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,0.43,0.45,0.42,0.47,0.47,0.43,0.44,0.41,0.43,0.46,0.43,0.49
F,337,Raúl,6.5,6.5,Fulham,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,75.30,3.82,4.15,3.42,4.48,4.58,3.65,3.84,3.35,3.53,4.31,3.56,5.03
F,338,Muniz,5.5,5.5,Fulham,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,0.29,0.31,0.26,0.34,0.34,0.28,0.29,0.26,0.27,0.32,0.27,0.38
G,339,Meslier,4.5,4.5,Leeds United,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
G,340,Cairns,4.0,4.0,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,341,Darlow,4.0,4.0,Leeds United,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,0.13,0.09,0.11,0.11,0.12,0.12,0.11,0.13,0.13,0.10,0.11,0.11
D,342,Bogle,4.5,4.5,Leeds United,31.95,79.50,79.50,79.50,79.50,79.50,79.50,79.50,79.50,79.50,79.50,79.50,1.38,1.98,2.86,2.82,3.05,3.21,3.19,3.65,3.62,2.55,2.78,3.07
D,343,Struijk,4.5,4.5,Leeds United,81.60,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,3.76,1.07,1.31,1.33,1.33,1.45,1.41,1.53,1.53,1.24,1.27,1.35
D,344,Bijol,4.0,4.0,Leeds United,0.00,76.50,76.50,76.50,76.50,76.50,76.50,76.50,76.50,76.50,76.50,76.50,0.00,2.44,3.04,3.15,3.09,3.46,3.31,3.75,3.59,2.86,2.98,3.12
D,345,Bornauw,4.0,4.0,Leeds United,23.10,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,1.01,0.39,0.42,0.44,0.43,0.45,0.44,0.47,0.46,0.42,0.43,0.43
D,346,Byram,4.0,4.0,Leeds United,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,0.74,0.60,0.68,0.68,0.70,0.71,0.71,0.75,0.75,0.65,0.67,0.69
D,347,Gudmundsson,4.0,4.0,Leeds United,81.15,81.15,81.15,81.15,81.15,81.15,81.15,81.15,81.15,81.15,81.15,81.15,3.69,2.21,3.03,3.06,3.23,3.38,3.31,3.91,3.77,2.74,2.99,3.24
D,348,Rodon,4.0,4.0,Leeds United,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,3.58,2.48,2.96,3.11,3.03,3.37,3.22,3.71,3.52,2.81,2.93,3.08
D,349,Schmidt,4.0,4.0,Leeds United,69.90,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,3.04,0.55,0.65,0.66,0.67,0.70,0.70,0.75,0.75,0.63,0.64,0.67
M,350,Aaronson,5.5,5.5,Leeds United,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,33.45,1.59,1.25,1.52,1.47,1.48,1.62,1.62,1.65,1.68,1.44,1.44,1.58
M,351,Gnonto,5.5,5.5,Leeds United,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,2.93,2.27,2.79,2.66,2.78,3.04,3.02,3.14,3.12,2.62,2.66,2.93
M,352,Harrison,5.5,5.5,Leeds United,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,20.10,1.01,0.80,0.96,0.92,0.96,1.04,1.04,1.04,1.06,0.92,0.92,1.00
M,353,James,5.5,5.5,Leeds United,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,65.40,3.28,2.39,3.07,2.93,3.03,3.38,3.34,3.43,3.52,2.90,2.87,3.26
M,354,Ampadu,5.0,5.0,Leeds United,72.90,72.90,72.90,72.90,72.90,72.90,72.90,72.90,72.90,72.90,72.90,72.90,2.49,2.24,2.55,2.43,2.51,2.63,2.74,2.55,2.64,2.42,2.34,2.49
M,355,Greenwood,5.0,5.0,Leeds United,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,0.12,0.10,0.12,0.11,0.12,0.13,0.12,0.13,0.13,0.11,0.11,0.12
M,356,Gruev,5.0,5.0,Leeds United,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,0.89,0.79,0.88,0.86,0.87,0.91,0.93,0.91,0.92,0.86,0.84,0.88
M,357,Ramazani,5.0,5.0,Leeds United,35.85,35.85,35.85,35.85,35.85,35.85,35.85,35.85,35.85,35.85,35.85,35.85,2.01,1.53,1.89,1.79,1.86,2.02,2.04,2.05,2.11,1.76,1.79,1.97
M,358,Tanaka,5.0,5.0,Leeds United,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,2.99,2.47,2.92,2.80,2.88,3.05,3.19,2.99,3.11,2.80,2.72,2.94
M,359,Crew,4.5,4.5,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,360,Gelhardt,4.5,4.5,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,361,Gyabi,4.5,4.5,Leeds United,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04
F,362,Piroe,5.5,5.5,Leeds United,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,62.25,3.39,2.58,3.23,3.06,3.15,3.50,3.46,3.57,3.69,3.04,3.06,3.34
F,363,Bamford,5.0,5.0,Leeds United,19.20,19.20,19.20,19.20,19.20,19.20,19.20,19.20,19.20,19.20,19.20,19.20,1.09,0.84,1.03,0.97,1.01,1.09,1.10,1.11,1.14,0.99,0.98,1.07
F,364,Mateo Joseph,5.0,5.0,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,365,Nmecha,5.0,5.0,Leeds United,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,1.86,1.49,1.80,1.72,1.77,1.92,1.92,1.92,2.01,1.71,1.71,1.89
G,366,A.Becker,5.5,5.5,Liverpool,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,4.50,3.35,3.49,4.42,4.39,4.02,3.39,4.04,3.83,3.92,2.94,4.34
G,367,Mamardashvili,4.5,4.5,Liverpool,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.04
G,368,Pécsi,4.0,4.0,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,369,Woodman,4.0,4.0,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,370,Frimpong,6.0,6.0,Liverpool,79.65,66.30,59.85,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,5.02,3.06,2.84,3.65,3.43,2.97,2.48,3.23,3.03,3.22,2.18,3.43
D,371,Kerkez,6.0,6.0,Liverpool,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,4.20,3.07,3.19,4.37,4.19,3.48,2.86,3.80,3.53,3.71,2.50,3.99
D,372,Robertson,6.0,6.0,Liverpool,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,0.78,0.65,0.65,0.79,0.76,0.69,0.63,0.75,0.72,0.74,0.60,0.77
D,373,Virgil,6.0,6.0,Liverpool,88.35,88.35,88.35,88.35,88.35,88.35,88.35,88.35,88.35,88.35,88.35,88.35,4.85,3.64,3.94,4.93,4.81,4.10,3.30,4.43,4.18,4.29,3.01,4.64
D,374,Konaté,5.5,5.5,Liverpool,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,4.22,3.12,3.37,4.34,4.22,3.50,2.82,3.78,3.51,3.71,2.52,4.03
D,375,Bradley,5.0,5.0,Liverpool,6.75,28.05,37.80,42.30,42.30,42.30,42.30,42.30,42.30,42.30,42.30,42.30,0.36,1.19,1.64,2.41,2.30,1.96,1.66,2.18,2.02,2.13,1.51,2.26
D,376,Gomez,5.0,5.0,Liverpool,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,0.48,0.40,0.42,0.48,0.46,0.43,0.39,0.45,0.44,0.44,0.38,0.46
D,377,Tsimikas,5.0,5.0,Liverpool,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,0.53,0.44,0.43,0.54,0.52,0.47,0.42,0.51,0.47,0.49,0.39,0.51
D,378,Nallo,4.0,4.0,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
D,379,R.Williams,4.0,4.0,Liverpool,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.06,0.05,0.05,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.04,0.06
D,380,Ramsay,4.0,4.0,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,381,M.Salah,14.5,14.5,Liverpool,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,8.18,6.08,5.99,7.91,7.33,6.66,5.96,7.59,7.30,7.49,5.65,7.50
M,382,Wirtz,8.5,8.5,Liverpool,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50,6.03,4.72,4.50,5.94,5.49,4.96,4.50,5.64,5.47,5.60,4.28,5.62
M,383,Luis Díaz,8.0,8.0,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,384,Gakpo,7.5,7.5,Liverpool,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,4.89,3.83,3.67,4.84,4.46,4.08,3.65,4.55,4.46,4.53,3.51,4.54
M,385,Chiesa,6.5,6.5,Liverpool,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,0.33,0.27,0.26,0.32,0.30,0.28,0.27,0.31,0.31,0.31,0.26,0.31
M,386,Mac Allister,6.5,6.5,Liverpool,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,3.46,2.91,2.77,3.33,3.19,3.07,2.76,3.29,3.20,3.27,2.61,3.23
M,387,Szoboszlai,6.5,6.5,Liverpool,66.15,54.90,54.90,54.90,54.90,54.90,54.90,54.90,54.90,54.90,54.90,54.90,4.07,2.82,2.66,3.30,3.15,2.99,2.65,3.20,3.18,3.13,2.53,3.16
M,388,C.Jones,5.5,5.5,Liverpool,57.15,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,2.76,1.50,1.46,1.72,1.64,1.56,1.44,1.68,1.65,1.64,1.44,1.66
M,389,Elliott,5.5,5.5,Liverpool,32.70,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,1.90,0.75,0.73,0.89,0.84,0.78,0.74,0.84,0.83,0.84,0.72,0.85
M,390,Gravenberch,5.5,5.5,Liverpool,0.00,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,76.35,0.00,3.19,2.94,3.39,3.30,3.26,2.94,3.44,3.28,3.32,2.78,3.27
M,391,Doak,5.0,5.0,Liverpool,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
M,392,Endo,5.0,5.0,Liverpool,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,0.61,0.57,0.54,0.61,0.59,0.57,0.55,0.61,0.59,0.60,0.54,0.60
M,393,Bajcetic,4.5,4.5,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02
M,394,McConnell,4.5,4.5,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02
M,395,Morton,4.5,4.5,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,396,Nyoni,4.5,4.5,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02
F,397,Darwin,6.5,6.5,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,398,Danns,4.5,4.5,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
G,399,Ederson M.,5.5,5.5,Man City,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,3.92,3.55,3.29,3.56,2.68,4.31,3.46,3.84,3.09,3.80,2.86,2.98
G,400,Ortega Moreno,5.0,5.0,Man City,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03
G,401,Bettinelli,4.0,4.0,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,402,Aït-Nouri,6.0,6.0,Man City,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,3.81,3.59,3.03,3.63,2.43,4.65,3.36,3.90,3.04,3.76,2.76,2.86
D,403,Gvardiol,6.0,6.0,Man City,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,81.45,4.19,3.98,3.50,4.00,2.99,5.04,3.74,4.35,3.33,4.16,3.25,3.28
D,404,Akanji,5.5,5.5,Man City,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,2.19,2.05,1.81,2.06,1.57,2.54,1.90,2.23,1.78,2.10,1.68,1.72
D,405,Aké,5.5,5.5,Man City,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,1.34,1.27,1.14,1.29,1.02,1.54,1.22,1.39,1.14,1.30,1.09,1.10
D,406,Khusanov,5.5,5.5,Man City,12.90,12.90,12.90,12.90,12.90,12.90,12.90,12.90,12.90,12.90,12.90,12.90,0.57,0.55,0.51,0.56,0.46,0.66,0.54,0.59,0.50,0.57,0.49,0.48
D,407,Matheus N.,5.5,5.5,Man City,35.55,35.55,35.55,35.55,35.55,35.55,35.55,35.55,35.55,35.55,35.55,35.55,1.92,1.85,1.55,1.84,1.28,2.31,1.72,1.97,1.54,1.85,1.44,1.46
D,408,Rúben,5.5,5.5,Man City,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,2.89,2.73,2.40,2.73,2.08,3.39,2.56,3.03,2.29,2.84,2.25,2.25
D,409,Stones,5.5,5.5,Man City,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.90,0.44,0.44,0.41,0.44,0.37,0.50,0.43,0.45,0.40,0.44,0.39,0.39
D,410,Lewis,5.0,5.0,Man City,35.70,35.70,35.70,35.70,35.70,35.70,35.70,35.70,35.70,35.70,35.70,35.70,1.81,1.77,1.51,1.72,1.27,2.15,1.63,1.87,1.50,1.77,1.39,1.44
D,411,O’Reilly,5.0,5.0,Man City,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,1.54,1.49,1.32,1.50,1.09,1.87,1.41,1.59,1.30,1.54,1.21,1.25
D,412,Vitor Reis,5.0,5.0,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,413,Marmoush,8.5,8.5,Man City,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,4.82,5.06,4.28,4.91,3.46,5.89,4.72,4.82,4.28,5.11,4.20,4.05
M,414,Foden,8.0,8.0,Man City,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,2.36,2.50,2.16,2.40,1.74,2.86,2.36,2.36,2.14,2.52,2.07,2.02
M,415,Savinho,7.0,7.0,Man City,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,0.46,0.50,0.43,0.48,0.35,0.55,0.47,0.46,0.43,0.49,0.42,0.41
